_id,full_name,email,ssn,ip_address,zip_code,credit_history_months,debt_to_income,savings_balance,loan_approved,interest_rate,approved_amount,rejection_reason,spend_total_monthly,loan_purpose,processing_timestamp,dq_flag_missing,gender,date_of_birth,age,annual_income,dq_flag_neg_credit,dq_flag_extreme_income,dq_flag_impossible_dti,dq_flag_underage,dq_flag_neg_savings
app_200,Jerry Smith,jerry.smith17@hotmail.com,596-64-4340,192.168.48.155,10036,23.0,0.2,31212.0,False,,,algorithm_risk_score,1517,,2024-01-15T00:00:00Z,False,Male,2001-03-09,22.8,73000.0,False,False,False,False,False
app_037,Brandon Walker,brandon.walker2@yahoo.com,425-69-4784,10.1.102.112,10032,51.0,0.18,17915.0,False,,,algorithm_risk_score,947,,,False,Male,1992-03-31,31.8,78000.0,False,False,False,False,False
app_215,Scott Moore,scott.moore94@mail.com,370-78-5178,10.240.193.250,10075,41.0,0.21,37909.0,True,3.7,59000.0,,109,vacation,,False,Male,1989-10-24,34.2,61000.0,False,False,False,False,False
app_024,Thomas Lee,thomas.lee6@protonmail.com,194-35-1833,192.168.175.67,10077,70.0,0.35,0.0,True,4.3,34000.0,,575,,,False,Male,1983-04-25,40.7,103000.0,False,False,False,False,False
app_184,Brian Rodriguez,brian.rodriguez86@aol.com,480-41-2475,172.29.125.105,10080,14.0,0.23,31763.0,False,,,algorithm_risk_score,463,,2024-01-15T00:00:00Z,False,Male,1999-05-21,24.6,57000.0,False,False,False,False,False
app_275,Maria Miller,maria.miller67@outlook.com,417-25-4912,172.25.58.70,10019,33.0,0.05,49933.0,False,,,algorithm_risk_score,571,,,False,Female,1982-02-14,41.9,110000.0,False,False,False,False,False
app_099,Nicholas King,nicholas.king46@outlook.com,613-23-2503,10.62.62.45,10022,61.0,0.17,30159.0,True,5.6,27000.0,,458,,,False,Male,1990-01-28,33.9,55000.0,False,False,False,False,False
app_246,Susan Rivera,susan.rivera74@gmail.com,176-97-1864,192.168.158.59,90223,31.0,0.29,21809.0,True,2.8,38000.0,,478,auto,,False,Female,1991-10-11,32.2,82000.0,False,False,False,False,False
app_042,Joseph Lopez,joseph.lopez1@gmail.com,652-70-5530,192.168.91.142,10044,43.0,0.41,15974.0,False,,,algorithm_risk_score,621,,,False,Male,1990-05-04,33.7,69000.0,False,False,False,False,False
app_348,Michael Mitchell,michael.mitchell42@hotmail.com,100-94-8400,172.28.12.121,10080,5.0,0.41,13794.0,False,,,insufficient_credit_history,1050,,,False,Male,1989-10-10,34.2,55000.0,False,False,False,False,False
app_309,Patricia Carter,patricia.carter75@gmail.com,392-82-4407,192.168.231.120,90250,99.0,0.37,21769.0,True,5.1,72000.0,,1314,,,False,Female,1970-10-01,53.3,63000.0,False,False,False,False,False
app_320,Jason Brown,jason.brown65@icloud.com,222-48-1592,192.168.52.13,90286,58.0,0.35,13088.0,True,5.9,71000.0,,1109,,,False,Male,1978-12-01,45.1,168000.0,False,False,False,False,False
app_007,Emma Clark,emma.clark14@protonmail.com,191-40-8079,192.168.11.34,90284,77.0,0.08,21353.0,True,5.2,27000.0,,706,,,False,Female,1989-06-13,34.6,92000.0,False,False,False,False,False
